Student Number,Age,Average Hours Studying On Campus,Student Mark,Time Taken on Exam
2681,41,3.21608145153604,19,90
3285,35,1.506126816627031,107,108
9920,25,3.147715375872416,98,177
4351,25,4.0406511765168425,80,116
1605,27,4.763085920219281,65,26
1803,24,2.381155714934772,84,70
8291,40,1.4856089687612735,104,57
1275,59,2.9270299742095696,121,32
1460,47,4.01674201894836,77,66
7851,27,4.601467678037266,13,99
1851,32,4.685924488977144,130,66
9235,21,4.848517113599333,27,127
8527,60,1.1024367924814746,52,114
5338,25,4.261878262439602,26,87
4841,23,1.2239409511415404,59,179
8707,31,1.8889249057705961,3,34
4240,18,2.976355594949449,123,68
7491,19,4.757705530329609,20,78
7032,29,2.4804473858188327,70,169
6306,49,2.134204075608076,15,85
9591,55,1.5270002128889604,7,50
2035,42,4.738396333082647,62,87
2979,59,4.287239695161162,96,83
5798,54,4.457528674097816,80,124
5620,55,3.055756054431174,100,52
8602,36,2.698527777848129,73,55
7558,46,4.6664044192045,27,52
6154,27,2.853450114726418,60,88
8625,37,1.061071737937234,130,11
1638,24,3.6971363359910923,116,103
4216,25,4.2327001643756805,84,79
9076,47,4.578375872562361,38,119
2981,28,1.5448840452838044,15,129
5464,55,3.8698470698822884,41,110
3511,48,3.54242250549235,61,132
1045,50,4.145270002457414,12,140
2684,30,1.8367508636547298,92,113
2760,34,3.88133510032837,43,34
7203,36,1.0133236881598702,8,143
6709,44,3.7082966999467546,21,141
8066,57,3.6194343876069786,89,69
5996,47,2.53546658890779,84,100
6842,57,1.2842062511965469,69,44
6818,45,1.958723808090177,25,134
7179,48,3.1447202216961867,61,76
9841,57,3.2095964476440177,28,145
2727,55,2.015369489275138,127,10
1453,24,4.5394308568623245,55,111
7918,57,2.082610308702255,93,158
1246,39,3.5499776590277943,21,33
1285,47,2.6604793215120575,100,103
1827,46,2.7111250151256914,0,142
5179,27,1.686765052565672,23,63
3178,55,4.545100780276403,32,28
6610,41,1.2078860459110672,57,161
4606,23,1.6350379731525986,22,81
2398,29,3.729701768981392,37,162
7613,49,3.8882378170333793,40,18
6047,21,4.5761466077007995,88,118
7374,42,1.9945818864854208,77,44
4830,33,3.8089542693103953,110,56
9775,60,2.4578528569518037,44,66
1400,36,2.542556848307307,65,51
7021,24,4.525452954816514,44,82
2562,18,3.436985665506272,126,153
9402,28,1.9967726839043913,79,150
3500,49,1.7364123819339858,51,103
5899,57,1.552578471459817,112,110
4281,34,3.126103188016152,115,28
8547,28,2.78330232292344,89,105
2141,56,3.319162545952154,64,78
4244,31,2.356514732710831,77,61
3397,53,2.5932981159995205,74,180
6212,31,1.4582463373434407,27,3
9291,24,3.273780948413569,40,134
8869,55,1.6626241224588076,63,30
4348,33,3.910123990037149,75,163
2489,58,4.9762498238746,70,168
5951,44,1.8465762937275225,45,100
5622,26,2.8723944804365305,115,119
6643,54,1.4794243116465515,121,113
7808,57,4.468891516550052,127,87
5617,24,4.363849079296308,86,146
2098,47,4.314194677072365,86,88
3842,58,2.976665519041361,27,15
3804,24,2.0506371296502706,51,173
2825,42,3.4287144656482815,76,3
4534,33,4.520810365986671,14,58
6415,48,1.5669288278387277,28,61
5307,57,2.4392115031851693,68,2
4057,58,4.2803392104918805,48,124
5257,24,3.434268985911069,58,55
1476,42,4.210199026395655,118,65
7513,40,3.8299813754892478,1,162
1941,37,2.7605907015362106,125,151
8968,35,4.750425880009798,94,86
4711,45,4.383748350885767,61,84
3649,53,2.6662372236407563,62,63
4840,32,2.9549007109312724,65,174
9491,21,3.705135551473053,121,175
1785,34,3.3074578203539056,37,63
9121,28,3.811414665605708,58,143
5873,31,2.3506951039035098,66,163
3999,42,1.9892775953005781,119,103
1275,60,4.939120099031101,4,6
7928,29,4.496192004215618,72,122
8410,28,3.077808692246653,104,45
3463,28,1.5884547443644363,105,107
9504,59,1.6489988320187008,74,6
7268,49,2.8497974889447746,130,55
3216,37,4.536684380712327,45,120
6780,32,4.503233855660605,101,132
8033,35,3.9138636979869093,108,57
5579,44,1.96334213240854,79,88
4505,20,1.1143126335061702,123,170
2329,26,2.922976391536828,77,106
4874,21,3.581070458203119,78,130
4236,56,3.568643919887332,54,11
4908,34,2.060095236854148,86,21
7955,20,2.732016007030959,85,158
2812,60,1.0048858338091042,1,143
9917,43,3.7510218239038937,36,65
7192,51,3.61700955493032,84,9
2506,34,4.802520867743512,55,47
7195,43,2.790077714899987,108,120
8619,43,2.118301814266633,24,75
4628,19,4.274418562918214,50,27
8978,49,4.43081383982096,88,9
9622,45,3.2020231988834693,18,8
2781,57,3.6029490432681572,88,44
5021,38,1.2569410169794906,31,38
9090,28,4.511712172565736,84,77
8169,20,2.760711147514228,110,86
2747,33,3.342688697561393,73,132
3215,36,2.953442919103702,26,147
9467,48,1.170297878695762,114,18
8750,51,2.2864635287723085,59,29
1412,36,4.5229528973823605,51,115
6957,54,1.1376167371754589,89,37
1717,32,2.6458334558020296,0,20
3257,27,1.409686410525682,96,119
8615,60,3.50067577542785,91,149
1975,29,4.420910767290766,53,34
3055,33,1.941825227028294,84,1
8697,18,2.1222838307125897,130,42
4090,53,1.7911632450964379,51,19
9342,18,1.0582514910650347,62,68
9005,54,3.6793083309258905,129,94
8253,39,1.571157944610416,41,124
1494,57,3.042654929332273,37,48
